MS COCO Image ID,Question ID,Soru,Yapay Zeka Cevabi,Gercek Cevaplar,Durum
262148,262148000,Where is he looking?,down,down; down; at table; skateboard; down; table; down; down; down; down,Dogru
262200,262200001,What is being celebrated?,birthday,birthday; birthday; birthday; birthday; birthday; birthday; birthday; birthday; birthday; birthday,Dogru
262200,262200002,Who is in front of the cake with candles?,boy,woman; boy; cup; birthday boy; woman; boy in blue shirt; little girl; boy; boy; girl,Dogru
393274,393274000,What is this vehicle?,train,train; train; train; train; train; yes; train; train; train; bus,Dogru
393274,393274001,Can you see the hook up for the train?,no,no; yes; no; no; yes; no; no; no; no; no,Dogru
393274,393274002,Is this train at the station?,yes,yes; yes; yes; yes; yes; no; yes; yes; yes; yes,Dogru
393274,393274003,What is cast?,shadow,shadows; human; shadow; sun; train; line; train; shadow; sky; shadow,Dogru
393274,393274004,What is the background metal structure?,train station,trees; station; awning; platform; platform; platform; roof; shelter; train stop; awning,Yanlis
393274,393274005,Is there smoke coming out of the train?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393274,393274006,Is this station in a rural setting?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393274,393274007,Are the train tracks clear?,yes,yes; yes; no; no; yes; yes; yes; yes; no; yes,Dogru
131131,131131000,What type of cat is this?,tabby,tabby; alley; tabby; short hair; tabby; adult cat; calico; tabby; house cat; tabby,Dogru
131131,131131001,What is written lg in the pic?,tv,tv; screen; tv; monitor; monitor; monitor; lg; nothing; tv; white,Dogru
131131,131131002,How many cats are in the image?,2,2; 2; 2; 2; 2; 2; 2; 1; 1; 2,Dogru
393277,393277000,Are there any tour buses?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393277,393277001,What's the statue of?,clock tower,clock tower; nothing; tower; person; tower; clock tower; clock building; tower; clock tower; clock tower,Dogru
393277,393277002,Are all three cars facing the same direction?,no,no; no; no; no; yes; no; yes; yes; no; no,Dogru
393277,393277003,What year is the car?,2000,2014; 2010; 2014; 2013; unknown; don't know; 2003; 2000; 2010; 2002,Dogru
393277,393277004,What color is the sky?,blue,"blue; blue; blue; blue, gray; blue; blue; blue; blue; blue; blue",Dogru
393277,393277005,What time is it on the clock?,5 : 00,830; 8:35; 9:35; 6; 7:45; 6; 738; 8:35; 7; 8:35,Yanlis
393277,393277006,Are there a lot of people milling around?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393277,393277007,Is the building large?,yes,no; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393277,393277008,How is the weather?,cloudy,clear; gloomy; cloudy; clear; gloomy; cloudy; cloudy; cloudy; cloudy; cloudy,Dogru
393277,393277009,What color is the building the background?,gray,beige; red; tan; beige; gray; white; gray; white; gray; gray,Dogru
393277,393277010,What time is it?,6 : 00,8:36; 8:35; 8:35; 9:35; 8:35; 7:45; 8:35; 8:35; 8:35; 7:35,Yanlis
393277,393277011,Does it rain here a lot?,yes,yes; yes; yes; yes; yes; yes; yes; yes; maybe; no,Dogru
393277,393277012,Which famous landmark appears in the background?,big ben,big ben; clock tower; big ben; unknown; clock; big ben; clock tower; cathedral; big ben; statue of liberty,Dogru
393277,393277013,Is that a cake?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393277,393277014,Is this a one way street?,no,not enough info; no; no; no; yes; no; yes; no; yes; yes,Dogru
393277,393277015,What color is the dome of the building off in the distance?,red,red; red; brown; red; no dome; gray; white; not seen; red; red,Dogru
393277,393277016,What is in the tower?,clock,clock; clock; clock; clock; clock; clock; clock; clock; clock; clock,Dogru
393282,393282000,Is the giraffe a baby?,yes,yes; yes; yes; yes; no; no; yes; no; no; yes,Dogru
393282,393282001,How many giraffes are there?,3,2; 2; 2; 2; 2; 2; 2; 2; 2; 2,Yanlis
393282,393282002,Are the animals in the shade?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393282,393282003,How many giraffes can been seen?,3,2; 2; 2; 2; 2; 2; 2; 2; 2; 2,Yanlis
393282,393282004,Are the animals in the wild?,no,no; yes; no; yes; no; yes; no; yes; no; yes,Dogru
393282,393282005,Why is there a white roofed open pavilion?,to provide shade,shade; shelter; tent; for shade; shade; for shade; let in sun; shade; for shade; yes,Yanlis
393282,393282006,Will these giraffes be eating the grass for dinner?,no,yes; no; no; yes; no; no; no; no; maybe; no,Dogru
393282,393282007,Do you see a body of water in the picture?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393282,393282008,What is in front of the giraffe?,fence,canopy; dirt; canopy; nothing; tent; dirt; shelter; camera; photographer; dirt,Yanlis
393282,393282009,How many giraffe are pictured?,two,2; 2; 2; 2; 2; 2; 2; 2; 2; 2,Yanlis
393282,393282010,Where do these animals live?,zoo,at zoo; zoo; desert; africa; zoo; plains; zoo; sahara; zoo; africa,Dogru
393282,393282011,What are these animals?,giraffes,giraffes; 2; giraffes; giraffes; giraffe; giraffe; giraffes; giraffes; griffes; giraffes,Dogru
393284,393284000,Is this a beach scene?,no,no; no; no; no; no; no; no; no; no; no,Dogru
393284,393284001,What kind of object is the kid riding?,snowboard,snowboard; snowboard; snowboard; snowboard; snowboard; snowboard; snowboard; snowboard; snowboard; snowboard,Dogru
393284,393284002,What is the this person doing?,snowboarding,snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding,Dogru
393284,393284003,What sport is the man doing?,snowboarding,snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding,Dogru
393284,393284004,Is this man snowboarding?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393284,393284005,Is there any snow on the trees?,no,no; no; no; no; yes; no; no; no; no; no,Dogru
393284,393284006,Is this person flying?,no,no; no; no; no; yes; yes; yes; no; no; no,Dogru
393284,393284007,Is this man flying off of the ski slope?,yes,yes; yes; yes; no; no; yes; yes; yes; hard to tell; yes,Dogru
393284,393284008,What is the person wearing?,snowsuit,snow suit and snowboard; pants and jacket; snow clothes; winter clothes; ski jacket/pants/gloves/boots; ski gear; skiing gear; winter wear; ski clothes; snow pants,Yanlis
393284,393284009,What is the man doing?,snowboarding,snowboarding; skiing; snowboarding; snowboarding; skateboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding,Dogru
393284,393284010,What pattern is painted on the helmet?,none,no helmet; plain; not there; stripes; none; arrow; unknown; solid; no helmet; none,Dogru
393284,393284011,Is he going to land?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
393284,393284012,What sport is the man participating in?,snowboarding,skateboarding; snowboarding; snowboarding; snowboarding; snowboarding; snowboarding; skiing; snowboarding; snowboarding; snowboarding,Dogru
393284,393284013,What is in the air?,snowboarder,snowboarder; man; skier; person; snowboarder; snowboarder; snow; snowboarder; snowboarder; person on snowboard,Dogru
393284,393284014,Does the man have goggles on?,yes,yes; no; no; yes; no; no; yes; yes; can't tell; yes,Dogru
393284,393284015,What color is the man's jacket?,red,red; red; red; orange; red; red; red; red; red; red,Dogru
393288,393288000,What kind of building is this?,church,church; church; church; church; church; cathedral; church; church; church; church,Dogru
393288,393288001,What color is the dome shaped roof in the back?,brown,gray; green; brown; red; black; black; gray; blue; gray with rust; brown,Dogru
393288,393288002,What color is the church?,red,brown; brown; red brick and white; brown; red; brown; red; brown; brown; brown,Dogru
393288,393288003,Where are the cars?,on street,in front of church; street; on street; street; street; on road; parked on street; on street; on road; street,Dogru
393288,393288004,What is displayed under the triangular dome?,window,window; door; windows; windows; windows; windows; cross; trees; window; cross,Dogru
524361,524361000,Where is the bird?,on bike,in tree; plate; in machine; on wheel; on metal; on bicycle wheel; perched on machine; horseshoe; in picture; on metal,Yanlis
524361,524361001,How many birds?,1,1; 1; 1; 1; 1; 1; 1; 1; 1; 1,Dogru
524361,524361002,What color are the bird's feathers?,gray,"gray and black; gray; white gray and black; gray; gray; gray; gray; gray and black; black and white; white, gray",Dogru
74,74000,Does this dog have a collar?,no,yes; no; no; no; no; no; no; yes; yes; no,Dogru
74,74001,Where is the dog laying?,sidewalk,outside; sidewalk; sidewalk; sidewalk; sidewalk; sidewalk; ground; street; yes; sidewalk,Dogru
74,74002,What is the dog doing?,sleeping,laying down; sleeping; resting; lying down; sleeping; it is sleeping; sleeping; laying down; sleeping; lying down,Dogru
131152,131152000,Are any of these people wearing a wetsuit?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
131152,131152001,How are the waves?,small,low; small; nice; small; 1-2 ft; large; ok; low; small; small,Dogru
131152,131152002,How many people are here?,7,5; 5; 5; 5; 5; 5; 5; 5; 5; 5,Yanlis
131152,131152003,Are these people wet?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262227,262227000,Are there pill bottles?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262227,262227001,What kind of sign is above the doorway?,exit,exit; exit; exit; exit; exit; exit; neon; exit; exit; exit,Dogru
262227,262227002,Is the computer a popular model?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262227,262227003,What color is the ribbon?,purple,green; purple; purple; purple; purple; purple; blue; green; purple; there is no ribbon,Dogru
262228,262228000,What is the ground made of?,brick,bricks; bricks; bricks; bricks; brick; brick; brick; bricks; brick; bricks,Dogru
262228,262228001,Why are the bicycles chained?,so they don ' t get stolen,locked; security; bike rack; not used; not being ridden; theft; keep them from being stolen; for security; theft prevention; protection,Yanlis
262228,262228002,What type of vehicles are these?,bicycles,bikes; bikes; bikes; bikes; bicycles; bikes; bicycle; bikes; bikes; bikes,Dogru
262228,262228003,Are these comfortable chairs?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262228,262228004,Where are these bicycles chained at?,bike rack,bike rack; bike rack; stand; bike racks; bike stand; fence; rack; to railings; streetside; bike rack,Dogru
262228,262228005,What is on the ground?,bikes,bikes; bricks; bricks; bicycle; bricks; bicycles; bicycles; bike and bike racks; bicycles; bricks,Dogru
262229,262229000,What is gliding in the air?,nothing,ball; nothing; ball; nothing; nothing; ball; nothing; soccer ball; hair; ball,Dogru
262229,262229001,What sport are the girls playing?,soccer,soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer,Dogru
262229,262229002,Are the girls professionals?,no,no; yes; no; no; no; no; no; no; no; no,Dogru
262229,262229003,How many babies are there?,0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0,Dogru
262229,262229004,Are these men or women?,women,women; women; women; women; women; women; women; women; women; women,Dogru
262229,262229005,What are on the girls heads?,headbands,headbands; headbands; hair combs; headbands; headbands; hair band; headbands; headbands; headbands; headbands,Dogru
262229,262229006,What game are they playing?,soccer,soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer; soccer,Dogru
131159,131159000,Where is the bear sitting?,floor,car floor; car floor; in car; in car; mat in car; in car; yes; floorboard; floorboard; car floor,Yanlis
131159,131159001,Is the bear real?,no,no; no; no; no; no; no; no; no; no; no,Dogru
131159,131159002,What is the color of the bear?,yellow,brown; yellow; yellow; brown; white; yellow; brown; yellow; tan; yellow,Dogru
262235,262235000,What type of facial expression does the woman have?,smile,smile; happy; smiling; happy; smile; smile; smile; smile; happy; smile,Dogru
262235,262235001,What covers the window?,curtain,curtain; curtain; curtains; curtain; curtains; curtain; curtain; curtain; curtain; curtain,Dogru
262235,262235002,What color are the woman's nails?,clear,clear; nude; clear; pink; clear; clear; natural; white; red; clear,Dogru
262235,262235003,What does the woman have around her neck?,lanyard,necklace; lanyard; lanyard; necklace; name tag; necklace; lanyard; badge; lanyard; security tag,Dogru
262235,262235004,Who is smiling?,woman,woman; girl; woman; girl in photo; girl on cell phone; woman; lady; woman; woman; woman,Dogru
262235,262235005,Is this a woman or man?,woman,woman; woman; woman; woman; woman; woman; woman; woman; woman; woman,Dogru
262235,262235006,What is the girl doing?,talking on phone,talking on phone; talking on phone; talking on phone; talking; talking on phone; talking on phone; on phone smiling; talking on phone; talking; talking,Dogru
524382,524382000,What brand of dogs are these?,beagle,beagle; beagles; beagles; beagles; hound dogs; hounds; bengal; spaniel; brand?; beagle,Dogru
524382,524382001,What is keeping the dogs from running away?,fence,fence; fence; fence; fence; fence; fence; french; cage; fence; fence,Dogru
524382,524382002,Are all the dogs looking in the same direction?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262242,262242000,What is the women's racket touching?,ground,floor and ball; ground and tennis ball; ground; ground; court and ball; ball; ball; ball; ground/ball; ball,Dogru
262242,262242001,What is stretched across the court?,net,net; tennis net; net; net; net; net; net; net; net; net,Dogru
262242,262242002,Does the man enjoy tennis?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262242,262242003,What color is the court?,green,green; green; green; green; green; green; green; green; green; green,Dogru
262242,262242004,Are the players tired?,no,yes; yes; yes; yes; yes; yes; yes; yes; no; not sure,Dogru
262242,262242005,Is the court blue?,no,no; no; no; no; no; no; no; no; no; no,Dogru
262242,262242006,Is he playing doubles?,yes,yes; yes; yes; no; yes; yes; yes; no; yes; yes,Dogru
262242,262242007,Are both men wearing hats?,no,no; no; no; no; no; no; no; no; yes; no,Dogru
262242,262242008,Are these two men professional tennis players?,no,no; no; no; no; no; no; no; no; no; no,Dogru
131171,131171000,Is this bread?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; there is bread,Dogru
131171,131171001,How many bins?,2,4; 2; 2; 2; 2; 2; 2; 2; 2; 2,Dogru
131171,131171002,Does this look like a healthy meal?,yes,yes; yes; yes; yes; yes; yes; no; no; yes; no,Dogru
262161,262161000,How many exhaust pipes are shown in this photo?,one,1; 1; 1; 1; 1; 1; 1; 1; 1; 0,Yanlis
262161,262161001,Is the silver bike new?,no,no; no; no; no; no; no; no; yes; no; no,Dogru
262161,262161002,Is the grass bright green?,yes,yes; no; no; yes; yes; yes; yes; yes; yes; yes,Dogru
262161,262161003,What is the bike on?,grass,grass; grass; grass; grass; ducati; grass; grass; grass; grass; grass,Dogru
262161,262161004,Why is there a number on this vehicle?,it is on display,model number; model; 750; 750; for show; gas tank; to tell what kind of motorcycle it is; model number; motor size; shows power of motorcycle,Yanlis
262161,262161005,Why is there a number on the vehicle?,it is on motorcycle,model; 750; motor; engine size; horsepower; 750; 750; identity; engine; 750,Yanlis
262161,262161006,Who is the maker of the scooter?,ducati,ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati,Dogru
262161,262161007,What color is the bike on the right?,red,"green, silver, and black; green; red; green and silver; silver and sea foam green; silver; gray; silver green; gray; green",Dogru
262161,262161008,Does the bike in the foreground have a single or a double seat?,single,single; single; single; single; single; single; single; single; single; yes,Dogru
262161,262161009,Is the blue container on the ground blocking the motorcycle?,yes,no; no; no; no; no; no; no; no; no; no,Yanlis
262161,262161010,What is that white thing behind the motorcyclist?,car,car; car; car; car; car; car; table; car; car; car,Dogru
262161,262161011,What color is the bike?,silver,"white and green; silver; gray, green; silver; silver; green; silver/green; silver; silver; silver",Dogru
262161,262161012,How many wheels do you see?,4,6; 4; 2; 4; 7; 4; 4; 2; 6; 6,Dogru
262161,262161013,How is this red bike called?,motorcycle,motorbike; motorcycle; motorcycle; motorcycle; motorcycle; motorcycle; harley-davidson; ducati; motorcycle; harley,Dogru
262161,262161014,Does this bike travel often?,yes,no; no; yes; yes; no; yes; no; yes; yes; no,Dogru
262161,262161015,What color is the seat?,black,black; black; black; black; black; black; black; black; black; black,Dogru
262161,262161016,What kind of a show does this look like it is despite the motorcycle?,car show,car show; vintage cars; car; car show; car; auto; car show; car show; car; car,Dogru
262161,262161017,Is this motorcycle propped up?,yes,yes; no; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262161,262161018,What number is on the motorcycle?,750,750; 750; 750; 750; 750; 750; 750; 750; 750; 750,Dogru
262161,262161019,What make is the bike?,ducati,ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati; ducati,Dogru
262161,262161020,Are both motorbikes the same size?,no,no; almost; yes; no; no; yes; no; yes; no; no,Dogru
524392,524392000,What color is the fridge?,silver,gray or silver; brushed steel; silver; steel gray; stainless; gray; silver; stainless steel (gray); gray; silver,Dogru
524392,524392001,Is the light on?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
524392,524392002,What is this appliance used for?,keep food cold,keep food; refrigeration; refrigeration; keep food fresh; keeping food cool/cold; keep food cold; storing food; refrigeration; cooling; food storage,Dogru
262262,262262000,Is the time correct?,yes,yes; yes; no; yes; yes; yes; yes; yes; yes; not sure,Dogru
262262,262262001,Is it an overcast day?,yes,yes; yes; yes; yes; yes; yes; yes; yes; yes; yes,Dogru
262262,262262002,What type of building is this?,clock tower,skyscraper; clock tower; clock tower; clock tower; clock tower; tower; church; church; skyscraper; clock,Dogru
393338,393338000,What  2 colors are the flowers?,yellow and red,"red and yellow; red and yellow; red and yellow; red,yellow; yellow & orange; orange and yellow; yellow and orange; orange and yellow; yellow and orange; red and yellow",Yanlis
